brand,name,price_old,price_new,seller,rating,number_rating,frete_gratis,full,entrega_rapida,entrega_mesmo_dia,desconto,percentual_desconto
GENÉRICA,"Malha Chenille Para Bordado De Bolsa, Crochê Na Tela",28.0,24.0,vendedor não identificado,5.0,57.0,False,True,False,False,4.0,14.3
ADIDAS,Tênis Feminino Grand Court Base 2.0 adidas,349.0,254.0,Por adidas ,4.8,983.0,False,True,True,False,95.0,27.2
XAVIERA,Pasta Executiva Mochila Bolsa Transversal 3 Em 1  Rk-7007,169.0,120.0,vendedor não identificado,4.9,9.0,False,False,True,False,49.0,29.0
ADIDAS,Tênis Feminino Grand Court Base 2.0 adidas,349.0,254.0,Por adidas ,4.8,983.0,False,True,True,False,95.0,27.2
VIZZANO,Sapato Slingback Feminino Em Sintético Vizzano,159.0,118.0,vendedor não identificado,5.0,4.0,False,True,True,False,41.0,25.8
WOLFF,Conjunto 6 Pratos Para Sobremesa De Porcelana Com Borda Prateada Mônaco Branco Wolff,190.0,139.0,Por Mercado Livre ,,,True,True,False,False,51.0,26.8
PHILCO - STARFER,Kit Caixa Ferramentas Reforçada Jogo De Chave Fixa 6pcs 6-17,78.0,57.0,Por Bronzautto ,4.7,30.0,False,True,False,False,21.0,26.9
ANGARE,Carrinho Armazém Ferramenta Dobrável Carga Pesada 150kg,369.0,284.0,vendedor não identificado,4.4,8.0,False,False,True,False,85.0,23.0
ADIDAS,Tênis Esportivo Masculino Runfalcon adidas,399.0,311.0,Por adidas ,,,False,True,True,False,88.0,22.1
MULTIMÓVEIS,Rack Com Painel Tv 65  Suspenso Flórida Multimóveis V3299 Cor Duna,439.0,311.0,Por Multimoveis ,4.0,29.0,False,False,False,False,128.0,29.2
MASH,Kit 6 Cuecas Boxer Masculina Microfibra Sem Costura Mash,186.0,109.0,Por Mash ,4.7,192.0,False,True,True,False,77.0,41.4
VIZZANO,Sandália Casual Feminina Vizzano Com Tachinhas,159.0,118.0,vendedor não identificado,4.5,2.0,False,True,True,False,41.0,25.8
TODA TODA MODAS OFICIAL,Conjunto Feminino Mídi Fardamento Moda Evangélica,169.0,106.0,vendedor não identificado,5.0,7.0,False,False,False,False,63.0,37.3
ADIDAS,Chuteiras De Futebol adidas Predator 25 Essentials Id3820 Cor Cloud White E Lucid Pink E Lucid Lemon Com Sola Multiground (mg) Adequada Para Multisuperficie Masculino,299.0,289.0,Por adidas ,,,False,True,True,False,10.0,3.3
WOLFF,6 Pratos Rasos Wolff Maldivas De Porcelana Com Borda Prata Cor Branco E Prata,501.0,299.0,Por Mercado Livre ,,,False,True,True,False,202.0,40.3
ADIDAS,Tênis Masculino Grand Court Base 2.0 adidas,349.0,285.0,Por adidas ,5.0,5.0,False,True,True,False,64.0,18.3
SKECHERS,Tênis Masculino Go Run Consistent 2.0 Preto Skechers,399.0,284.0,Por Mercado Livre ,5.0,6.0,True,True,False,False,115.0,28.8
SKECHERS,Tênis Masculino Go Run Consistent 2.0 Preto Skechers,399.0,298.0,Por Mercado Livre ,5.0,6.0,True,True,False,False,101.0,25.3
VALISERE,Sutiã Push-up Rendado Valisere,164.0,62.0,Por Valisere ,4.4,10.0,False,True,False,False,102.0,62.2
MASH,Kit 6 Cuecas Masculinas 111.74 Boxer Cotton C/ Elástico Mash,176.0,99.0,Por Mash ,4.8,157.0,False,True,True,False,77.0,43.8
ADIDAS,Mochila City Explorer adidas 30l,499.0,259.0,Por adidas ,4.9,110.0,True,True,False,False,240.0,48.1
MASH,Kit 10 Cuecas Boxer Cotton Mash Masculino Adulto,290.0,179.0,Por Mash ,4.9,153.0,False,True,True,False,111.0,38.3
SKECHERS,Tênis Feminino Skechers Go Run Lite,429.0,295.0,Por Mercado Livre ,,,False,True,True,False,134.0,31.2
CROCS,Sandália Crocs Crocband Clog Kids Black,279.0,265.0,Por Crocs ,5.0,6.0,True,True,False,False,14.0,5.0
ADIDAS,Tênis adidas Advantage Base 2.0 Color White - Adulto 40 Br,299.0,193.0,Por adidas ,4.8,427.0,True,True,False,False,106.0,35.5
GENÉRICA,Vestido Plus Size Jeans Peplum Lycra Midi Moda Casual Festa,131.0,99.0,vendedor não identificado,4.8,194.0,True,True,False,False,32.0,24.4
ADIDAS,Tênis Masculino Casual Daily 4.0 adidas,399.0,227.0,Por adidas ,4.9,22.0,True,True,False,False,172.0,43.1
ADIDAS,Tênis Masculino Grand Court Base 2.0 adidas,349.0,285.0,Por adidas ,5.0,17.0,False,True,True,False,64.0,18.3
ADIDAS,Calça Treino De Futebol Masc Squadra 25 Em Poliéster adidas,249.0,241.0,Por adidas ,,,False,True,True,False,8.0,3.2
,Hand Grip Ante Braço Punho Ajuste Peso Até 60 Kg C/ Contador,49.0,29.0,vendedor não identificado,4.8,405.0,False,True,False,False,20.0,40.8
ADIDAS,adidas Sportswear Grand Court Base 2.0 Cor Branco Azul E Vermelho Adulto 39 Br,349.0,207.0,Por adidas ,4.9,450.0,False,True,True,False,142.0,40.7
ADIDAS,Calça Casual Feminina Jogger Essentials 3 Listras adidas,249.0,241.0,Por adidas ,,,False,True,True,False,8.0,3.2
ADIDAS,Chuteira Masculina Campo Predator Club adidas,449.0,256.0,Por adidas ,,,True,True,False,False,193.0,43.0
NEW BALANCE,Tênis New Balance 574v2 Wl574v2 Color Preto 35 Br,599.0,304.0,Por Mercado Livre ,,,True,True,False,False,295.0,49.2
ADIDAS,Tênis Masculino Advantage adidas,349.0,178.0,Por adidas ,4.8,632.0,True,True,False,False,171.0,49.0
ADIDAS,Moletinho Masculino Essentials Big Logo adidas,379.0,192.0,Por adidas ,4.7,71.0,True,True,False,False,187.0,49.3
ADIDAS,Chuteira Infantil Society Predator Club adidas,349.0,206.0,Por adidas ,,,False,True,True,False,143.0,41.0
ADIDAS,Tênis Lite Racer 4.0 adidas,299.0,271.0,Por adidas ,4.7,10.0,False,True,True,False,28.0,9.4
SKECHERS,Tênis Skechers Masculino D'lux Walker 2.0 Tam 40,549.0,269.0,Por Mercado Livre ,,,False,True,True,False,280.0,51.0
OLYMPIKUS,Tênis Masculino Diffuse 5 Olympikus,349.0,228.0,Por Mercado Livre ,4.8,956.0,True,True,False,False,121.0,34.7
ADIDAS,Chuteira Predator Club Society adidas,449.0,256.0,Por adidas ,,,True,True,False,False,193.0,43.0
UNDER ARMOUR,Tênis Masculino Pacer Under Armour,449.0,269.0,Por Mercado Livre ,4.5,6.0,False,True,True,False,180.0,40.1
ADIDAS,Mochila Classica 3 Listras Iz1895 adidas,229.0,208.0,Por adidas ,4.7,111.0,True,True,False,False,21.0,9.2
CELPAN,4 Metros Piso Diamante Para Banheiros - Oferta,295.0,227.0,vendedor não identificado,4.8,6.0,False,False,True,False,68.0,23.1
OLYMPIKUS,Tênis De Corrida Feminino Voa 2 Olympikus,299.0,224.0,Por Mercado Livre ,,,False,True,True,False,75.0,25.1
MONDAINE,Kit Relógio Mondaine Feminino Dourado Com Colar E Brincos 32610lpmkde1k1,232.0,176.0,Por RBM WEBSHOP ,4.8,217.0,True,True,False,False,56.0,24.1
OLYMPIKUS,Tênis De Corrida Feminino Voa 2 Olympikus,299.0,224.0,Por Mercado Livre ,,,False,True,True,False,75.0,25.1
INSIDER,Camiseta Henley Core Masculino,259.0,224.0,Por Insider ,5.0,4.0,False,False,False,False,35.0,13.5
CROCS,Sandália Crocs Classic All Terrain Black/multi,299.0,248.0,Por Crocs ,4.8,51.0,True,True,False,False,51.0,17.1
ADIDAS,Tênis adidas Advantage Base 2.0 Color Beige - Adulto 41 Br,299.0,193.0,Por adidas ,4.8,427.0,True,True,False,False,106.0,35.5
ADIDAS,Tênis Masculino Casual Daily 4.0 adidas,399.0,227.0,Por adidas ,4.9,22.0,False,True,True,False,172.0,43.1
OLYMPIKUS,Tênis Masculino Diffuse 5 Olympikus,299.0,209.0,Por Mercado Livre ,4.9,14.0,True,True,False,False,90.0,30.1
